FID,LANDMARKNA,STNO,STNAME,SUFFIX,OWNERSHIP,CITY,UNITID,SERVSTAT,LAT,LONG,nBaseball,nBasket,nBocce,nCricket,nIceRink,nPlaySite,nSoccer,nSoftball,nSprayPad,nTennis
32,NOT TO BE NAMED (P-249) *(BETWEEN 410 AND DIXIE NORTH OF ORDAN RD),6616,DIXIE,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-249,OPEN,43.65521,-79.680337,0,0,0,0,0,0,0,0,0,0
33,PROMENADE MEADOWS,7099,DANTON PROMENADE,,CITY OF MISSISSAUGA,MISSISSAUGA,P-216,OPEN,43.588157,-79.776249,0,0,0,0,1,1,0,1,0,0
34,NOT YET NAMED (P-453) *(BETWEEN NINTH LINE AND 407| NORTH OF DERRY RD),7238,NINTH LINE,,CITY OF MISSISSAUGA,MISSISSAUGA,P-453,WIP,43.57734,-79.793455,0,0,0,0,0,0,0,0,0,0
35,NOT YET NAMED (P-452) *(BUSSEL HOUSE),7430,NINTH LINE,,CITY OF MISSISSAUGA,MISSISSAUGA,P-452,WIP,43.584418,-79.803001,0,0,0,0,0,0,0,0,0,0
36,SHERWOODTOWNE GREEN,4275,SHERWOODTOWNE,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-217,OPEN,43.600784,-79.640347,0,0,0,0,0,0,0,0,0,0
37,SPRINGBANK MEADOWS,2210,SPRINGBANK,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-215,OPEN,43.534305,-79.646095,0,0,0,0,0,0,0,0,0,0
38,COPPERSMITH GROVE,2430,COPPERSMITH,CRT,CITY OF MISSISSAUGA,MISSISSAUGA,P-177,OPEN,43.553226,-79.690516,0,0,0,0,0,0,0,0,0,0
39,SAWMILL CREEK,3606,SAWMILL VALLEY,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-176,OPEN,43.55032,-79.678955,0,0,0,0,0,0,0,0,0,0
40,NOT YET NAMED (P-438) *(EAST OF CLARKSON RD N| SE OF THE PINES),1233,CLARKSON,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-438,OPEN,43.523008,-79.627392,0,0,0,0,0,0,0,0,0,0
41,NOT YET NAMED (P-436) *(BETWEEN ST LAWRENCE DR AND ELMWOOD AVE SOUTH| SW OF LAKESHORE RD E),165,ST. LAWRENCE,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-436,OPEN,43.556848,-79.579606,0,0,0,0,0,0,0,0,0,0
42,GODWICK GREEN,1371,GODWICK,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-396,OPEN,43.623063,-79.741376,0,0,0,0,0,1,0,1,0,0
43,GOODERHAM PARK,6938,GOODERHAM ESTATE,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-395,OPEN,43.628657,-79.724155,0,0,0,0,0,1,1,1,0,0
44,PARAMOUNT FINE FOODS CENTRE,5500,ROSE CHERRY,PL,CITY OF MISSISSAUGA,MISSISSAUGA,P-360,OPEN,43.635087,-79.657724,0,0,0,0,0,0,0,0,0,0
46,LAKEFRONT PROMENADE,800,LAKEFRONT PROMENADE,,CITY OF MISSISSAUGA,MISSISSAUGA,P-323,OPEN,43.566292,-79.559242,0,0,0,0,0,1,0,0,1,0
47,SANDFORD FARM,845,WHITE CLOVER,WAY,CITY OF MISSISSAUGA,MISSISSAUGA,P-322,OPEN,43.587838,-79.669114,0,0,0,1,0,1,2,0,0,0
48,RICHARD'S MEMORIAL PARK,804,LAKESHORE,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-067,OPEN,43.536001,-79.600224,0,0,0,0,0,1,0,0,0,0
49,CREDIT RIVER FLATS,350,MINEOLA,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-066,OPEN,43.554009,-79.598441,0,0,0,0,0,0,0,0,0,0
50,TALL OAKS PARK,44,ELMWOOD,AVE,CITY OF MISSISSAUGA,MISSISSAUGA,P-142,OPEN,43.555199,-79.576781,0,0,0,0,0,0,0,0,0,0
51,MULLET CREEK PARK,6720,CENTURY,AVE,CITY OF MISSISSAUGA,MISSISSAUGA,P-141,OPEN,43.602425,-79.751471,0,0,0,0,0,0,0,0,0,0
52,LYNDWOOD PARK,495,ATWATER,AVE,CITY OF MISSISSAUGA,MISSISSAUGA,P-105,OPEN,43.571298,-79.577888,0,0,0,0,0,1,0,2,0,0
53,PETRESCUE PARK,1000,HALLIDAY,AVE,CITY OF MISSISSAUGA,MISSISSAUGA,P-104,OPEN,43.58196,-79.566422,0,0,0,0,0,1,0,1,0,0
55,FLEETWOOD PARK,2000,BURNHAMTHORPE,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-077,OPEN,43.63339,-79.586625,1,0,0,0,0,1,2,1,0,0
56,NOT TO BE NAMED (P-271) *(N|S| AND EAST OF ONEIDA CRT),2230,ONEIDA,CRES,CITY OF MISSISSAUGA,MISSISSAUGA,P-271,OPEN,43.555739,-79.621325,0,0,0,0,0,0,0,0,0,0
58,WHITEOAKS PARK,1450,TRUSCOTT,DR,JOINT OWNERSHIP,MISSISSAUGA,P-003,OPEN,43.529074,-79.629276,0,0,0,0,1,2,0,0,0,0
59,SERSON PARK,1100,PELHAM,AVE,JOINT OWNERSHIP,MISSISSAUGA,P-002,OPEN,43.582502,-79.561431,0,2,0,0,1,1,0,0,1,0
60,NOT YET NAMED (P-514)*,0,OSPREY,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-514,OPEN,43.571371,-79.780138,0,0,0,0,0,0,0,0,0,0
61,NOT TO BE NAMED (P-303) *(SW OF POETS WALK AND DURIE RD),5444,DURIE,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-303,OPEN,43.582383,-79.705693,0,0,0,0,0,0,0,0,0,0
62,CASTLEBRIDGE COMMON,2636,CASTLEBRIDGE,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-344,OPEN,43.568862,-79.728369,0,0,0,0,0,1,1,1,0,0
63,TOTOREDACA PARK,2715,MEADOWVALE,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-284,OPEN,43.610402,-79.768832,0,0,0,0,0,0,2,0,0,0
64,NOT YET NAMED (P-456) *(SOUTH OF DOUG LEAVENS BLVD AND NINTH LINE),6400,NINTH LINE,,CITY OF MISSISSAUGA,MISSISSAUGA,P-456,WIP,43.562722,-79.773913,0,0,0,0,0,0,0,0,0,0
65,NOT YET NAMED (P-455) *(WEST OF DOUG LEAVENS BLVD AND NINTH LINE),6500,NINTH LINE,,CITY OF MISSISSAUGA,MISSISSAUGA,P-455,WIP,43.566951,-79.778278,0,0,0,0,0,0,0,0,0,0
66,VISTA HEIGHTS PARK,5779,TURNEY,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-219,OPEN,43.57668,-79.726689,0,0,0,0,1,1,0,0,0,0
67,MOUNT CHARLES PARK,1265,CARDIFF,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-218,OPEN,43.677317,-79.682586,0,0,0,0,0,0,0,2,0,0
68,FATHER JOSEPH A. NOLAN PARK,7385,FINERY,CRES,CITY OF MISSISSAUGA,MISSISSAUGA,P-179,OPEN,43.731791,-79.630069,0,0,0,0,0,1,0,0,0,0
69,SHALEBANK HOLLOW,2009,FOLKWAY,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-178,OPEN,43.558478,-79.686227,0,0,0,0,0,0,0,0,0,0
70,PALETTE PARK,615,RENSHAW,CRT,CITY OF MISSISSAUGA,MISSISSAUGA,P-440,OPEN,43.544735,-79.599847,0,0,0,0,0,1,0,0,0,0
71,PAINTERS GREEN,1305,COBALT,ST,CITY OF MISSISSAUGA,MISSISSAUGA,P-439,OPEN,43.544743,-79.608743,0,0,0,0,0,0,0,0,0,0
72,COOPERS COMMON,7120,APPLETREE,LANE,CITY OF MISSISSAUGA,MISSISSAUGA,P-399,OPEN,43.630003,-79.730093,0,0,0,0,0,1,0,0,0,0
73,MISSINIHE PARK,7225,WALDORF,WAY,CITY OF MISSISSAUGA,MISSISSAUGA,P-398,OPEN,43.625204,-79.736089,0,0,0,0,0,1,0,0,0,0
74,NOT TO BE NAMED (P-363) *(BETWEEN SPEAKMAN DR AND NORTH SHERIDAN WAY),2610,SPEAKMAN,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-363,OPEN,43.513691,-79.661796,0,0,0,0,0,0,0,0,0,0
75,NOT YET NAMED (P-361) *(BETWEEN QUEENSWAY WEST AND MISSISSAUGA HEIGHTS),970,QUEENSWAY,,CITY OF MISSISSAUGA,MISSISSAUGA,P-361,OPEN,43.552945,-79.631059,0,0,0,0,0,0,0,0,0,0
76,MIDDLEBURY GREEN,5510,MIDDLEBURY,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-325,OPEN,43.565482,-79.724173,0,0,0,0,1,1,2,1,0,0
78,PEEL GARDENS,1220,HURONTARIO,ST,CITY OF MISSISSAUGA,MISSISSAUGA,P-069,OPEN,43.559247,-79.587692,0,0,0,0,0,0,0,0,0,0
79,BRANDON GATE PARK,3545,BRANDON GATE,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-068,OPEN,43.727634,-79.647817,0,0,0,0,0,1,0,0,0,0
80,SHERWOOD GREEN,1864,DEER'S WOLD,,CITY OF MISSISSAUGA,MISSISSAUGA,P-147,OPEN,43.539007,-79.659461,0,1,0,0,1,1,0,0,0,0
81,ORCHARD HILL,1055,DETA,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-145,OPEN,43.587558,-79.549481,0,0,0,0,0,1,0,0,0,0
82,HIAWATHA PARK,76,CUMBERLAND,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-108,OPEN,43.558074,-79.571416,0,0,0,0,0,1,0,0,0,0
83,BEN MACHREE PARK,61,BEN MACHREE,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-107,OPEN,43.540776,-79.588526,0,0,0,0,0,1,0,0,0,0
84,LEWIS BRADLEY PARK,750,INVERHOUSE,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-081,OPEN,43.507304,-79.621313,0,0,0,0,1,1,1,0,0,0
85,GORDON LUMMISS PARK,236,PAISLEY,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-080,OPEN,43.570785,-79.616517,0,0,0,0,1,1,1,0,0,0
86,HURON HEIGHTS,4500,CENTRAL,PKY,CITY OF MISSISSAUGA,MISSISSAUGA,P-273,OPEN,43.609955,-79.641813,0,0,0,1,1,1,2,1,1,0
87,TURTLE GLEN,1093,FEELEY,CRT,CITY OF MISSISSAUGA,MISSISSAUGA,P-272,OPEN,43.516847,-79.62757,0,0,0,0,0,0,0,0,0,0
88,DELLWOOD PARK,598,ARBOR,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-005,OPEN,43.574433,-79.576862,0,2,0,0,1,1,0,0,0,0
89,HILLSIDE PARK,1311,KELLY,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-004,OPEN,43.510346,-79.646743,0,0,0,0,0,1,0,0,0,0
90,KARIYA PARK,3620,KARIYA,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-231,OPEN,43.589686,-79.636207,0,0,0,0,0,0,0,0,0,0
91,HANCOCK WOODLANDS,2171,CAMILLA,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-508,WIP,43.57653,-79.598364,0,0,0,0,0,0,0,0,0,0
92,NOT TO BE NAMED (P-515)*,1677,SUNNINGDALE BEND,,,MISSISSAUGA,P-515,OPEN,43.516456,-79.618721,0,0,0,0,0,0,0,0,0,0
93,LEVI'S VALLEY,1575,WESTBRIDGE,WAY,CITY OF MISSISSAUGA,MISSISSAUGA,P-384,OPEN,43.62066,-79.750622,0,0,0,0,0,0,0,0,0,0
94,BELL HARBOUR PARK,5820,BELL HARBOUR,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-345,OPEN,43.572948,-79.730971,0,0,0,0,1,1,1,1,0,0
95,NOT YET NAMED (P-458) *(WEST OF OSPREY BLVD ON NINTH LINE),6168,NINTH LINE,,CITY OF MISSISSAUGA,MISSISSAUGA,P-458,WIP,43.558448,-79.767885,0,0,0,0,0,0,0,0,0,0
